License Code,License Name,URL
GPL-2.0,GNU General Public License version 2,https://opensource.org/licenses/GPL-2.0
GPL-3.0,GNU General Public License version 3,https://opensource.org/licenses/LGPL-3.0
LGPL-2.1,GNU Lesser General Public License version 2.1,https://opensource.org/licenses/LGPL-2.1
LGPL-3.0,GNU Lesser General Public License version 3,https://opensource.org/licenses/LGPL-3.0
HPND,Historical Permission Notice and Disclaimer,https://opensource.org/licenses/HPND
IPL-1.0,IBM Public License 1.0,https://opensource.org/licenses/IPL-1.0
Intel,Intel Open Source License,https://opensource.org/licenses/Intel
IPA,IPA Font License,https://opensource.org/licenses/IPA
ISC,ISC License,https://opensource.org/licenses/ISC
Jabber,Jabber Open Source License,https://opensource.org/licenses/jabberpl
LPPL-1.3c,LaTeX Project Public License 1.3c,https://opensource.org/licenses/LPPL-1.3c
BSD-3-Clause-LBNL,Lawrence Berkeley National Labs BSD Variant License,https://opensource.org/BSD-3-Clause-LBNL
LiliQ-P,Licence Libre du Québec – Permissive (LiLiQ-P) version 1.1,https://opensource.org/licenses/LiLiQ-P-1.1
LiliQ-R,Licence Libre du Québec – Réciprocité (LiLiQ-R) version 1.1,https://opensource.org/licenses/LiLiQ-R-1.1
LiliQ-R+,Licence Libre du Québec – Réciprocité forte (LiLiQ-R+) version 1.1,https://opensource.org/licenses/LiLiQ-Rplus-1.1
LPL-1.0,"Lucent Public License (""Plan9""), version 1.0",https://opensource.org/licenses/LPL-1.0
LPL-1.02,Lucent Public License Version 1.02,https://opensource.org/licenses/LPL-1.02
MS-PL,Microsoft Public License,https://opensource.org/licenses/MS-PL
MS-RL,Microsoft Reciprocal License,https://opensource.org/licenses/MS-PL
MirOS,MirOS Licence,https://opensource.org/licenses/MirOS
MIT,MIT License,https://opensource.org/licenses/MIT
CVW,MITRE Collaborative Virtual Workspace License,https://opensource.org/licenses/CVW
Motosoto,Motosoto License,https://opensource.org/licenses/Motosoto
MPL-1.0,Mozilla Public License 1.0,https://opensource.org/licenses/MPL-1.0
MPL-1.1,Mozilla Public License 1.1,https://opensource.org/licenses/MPL-1.1
MPL-2.0,Mozilla Public License 2.0,https://opensource.org/licenses/MPL-2.0
MulanPSL-2.0,Mulan Permissive Software License v2,https://opensource.org/licenses/MulanPSL-2.0
Multics,Multics License,https://opensource.org/licenses/Multics
NASA-1.3,NASA Open Source Agreement 1.3,https://opensource.org/licenses/NASA-1.3
Naumen,Naumen Public License,https://opensource.org/licenses/Naumen
NGPL,Nethack General Public License,https://opensource.org/licenses/NGPL
Nokia,Nokia Open Source License,https://opensource.org/licenses/Nokia
NPOSL-3.0,Non-Profit Open Software License 3.0,https://opensource.org/licenses/NPOSL-3.0
NTP,NTP License,https://opensource.org/licenses/NTP
OCLC-2.0,OCLC Research Public License 2.0,https://opensource.org/licenses/OCLC-2.0
OGTSL,Open Group Test Suite License,https://opensource.org/licenses/OGTSL
OSL-1.0,Open Software License 1.0,https://opensource.org/licenses/OSL-1.0
OSL-2.1,Open Software License 2.1,https://opensource.org/licenses/OSL-2.1
OSL-3.0,Open Software License 3.0,https://opensource.org/licenses/OSL-3.0
OLDAP-2.8,OpenLDAP Public License Version 2.8,https://opensource.org/licenses/OLDAP-2.8
OPL-2.1,OSET Public License version 2.1,https://opensource.org/licenses/OPL-2.1
PHP-3.0,PHP License 3.0,https://opensource.org/licenses/PHP-3.0
PHP-3.01,PHP License 3.01,https://opensource.org/licenses/PHP-3.01
PostgreSQL,The PostgreSQL License,https://opensource.org/licenses/PostgreSQL
Python-2.0,Python License,https://opensource.org/licenses/Python-2.0
CNRI-Python,CNRI Python License,https://opensource.org/licenses/CNRI-Python
QPL-1.0,Q Public License,https://opensource.org/licenses/QPL-1.0
RPSL-1.0,RealNetworks Public Source License v1.0,https://opensource.org/licenses/RPSL-1.0
RPL-1.1,"Reciprocal Public License, version 1.1",https://opensource.org/licenses/RPL-1.1
RPL-1.5,"Reciprocal Public License, version 1.5",https://opensource.org/licenses/RPL-1.5
RSCPL,Ricoh Source Code Public License,https://opensource.org/licenses/RSCPL
OFL-1.1,SIL Open Font License 1.1,https://opensource.org/licenses/OFL-1.1
SimPL-2.0,Simple Public License 2.0,https://opensource.org/licenses/SimPL-2.0
Sleepycat,Sleepycat License,https://opensource.org/licenses/Sleepycat
SISSL,Sun Industry Standards Source License,https://opensource.org/licenses/SISSL
SPL-1.0,Sun Public License 1.0,https://opensource.org/licenses/SPL-1.0
Watcom-1.0,Sybase Open Watcom Public License 1.0,https://opensource.org/licenses/Watcom-1.0
UPL,Universal Permissive License,https://opensource.org/licenses/UPL
NCSA,University of Illinois/NCSA Open Source License,https://opensource.org/licenses/NCSA
UCL-1.0,Upstream Compatibility License v1.0,https://opensource.org/licenses/UCL-1.0
UDFSL,Unicode Data Files and Software License,https://opensource.org/node/1077
Unlicense,The Unlicense,https://opensource.org/licenses/unlicense
VSL-1.0,Vovida Software License v1.0,https://opensource.org/licenses/VSL-1.0
W3C,W3C License,https://opensource.org/licenses/W3C
WXwindows,wxWindows Library License,https://opensource.org/licenses/WXwindows
Xnet,X.Net License,https://opensource.org/licenses/Xnet
ZPL-2.0,Zope Public License 2.0,https://opensource.org/licenses/ZPL-2.0
Zlib,zlib/libpng License,https://opensource.org/licenses/Zlib
Other,Unspecified - DO NOT USE,Unspecified - DO NOT USE
Proprietary,Proprietary License,https://en.wikipedia.org/wiki/Proprietary_software
"Proprietary freeware, based on open source components","Proprietary Freeware, based on open source components",https://en.wikipedia.org/wiki/Proprietary_software
